基金代码,基金简称
005825,申万菱信智能驱动股票A
015159,申万菱信智能驱动股票C
006502,财通集成电路产业股票A
006503,财通集成电路产业股票C
014736,创金合信专精特新股票发起A
014737,创金合信专精特新股票发起C
002289,华商改革创新股票A
016052,华商改革创新股票C
005628,汇安趋势动力股票A
005629,汇安趋势动力股票C
011377,创金合信积极成长股票A
020775,国寿安保产业升级股票发起式A
540010,汇丰晋信科技先锋股票
011378,创金合信积极成长股票C
006265,红土创新新科技股票A
020774,国寿安保产业升级股票发起式C
001040,新华策略精选股票A
001877,宝盈国家安全沪港深股票A
025415,新华策略精选股票C
013613,宝盈国家安全沪港深股票C
021937,华安半导体产业股票发起式A
021938,华安半导体产业股票发起式C
001105,信澳转型创新股票A
010391,易方达战略新兴产业股票A
015608,信澳转型创新股票C
010392,易方达战略新兴产业股票C
000411,景顺长城优质成长股票A
021500,景顺长城优质成长股票C
501201,红土创新科技创新股票(LOF)A
012696,同泰数字经济股票A
012697,同泰数字经济股票C
006081,海富通电子传媒股票A
006080,海富通电子传媒股票C
020553,南方半导体产业股票发起A
020554,南方半导体产业股票发起C
001416,嘉实事件驱动股票
001036,嘉实企业变革股票
020722,国寿安保数字经济股票发起式A
007685,华商电子行业量化股票发起式A
020723,国寿安保数字经济股票发起式C
519935,长信创新驱动股票A
022831,华商电子行业量化股票发起式C
001048,富国新兴产业股票A
008382,融通产业趋势股票A
000697,汇添富移动互联股票A
015686,富国新兴产业股票C
014299,宏利先进制造股票A
015199,汇添富移动互联股票D
015198,汇添富移动互联股票C
014300,宏利先进制造股票C
010013,易方达信息行业精选股票A
017744,嘉实绿色主题股票发起式A
001956,国联安科技动力股票A
019024,易方达信息行业精选股票C
017745,嘉实绿色主题股票发起式C
005777,广发科技动力股票
001404,招商移动互联网产业股票基金A
015773,招商移动互联网产业股票基金C
017746,建信电子行业股票A
017747,建信电子行业股票C
006751,富国互联科技股票A
011126,富国互联科技股票C
004352,华银研究精选股票
017488,嘉实信息产业股票发起式A
001396,建信互联网+产业升级股票
019759,中欧半导体产业股票发起A
000688,景顺长城研究精选股票A
019765,国寿安保优选国企股票发起式A
017489,嘉实信息产业股票发起式C
005328,前海开源价值策略股票
020476,泰康半导体量化选股股票发起式A
019764,中欧半导体产业股票发起C
019766,国寿安保优选国企股票发起式C
018998,景顺长城研究精选股票C
020477,泰康半导体量化选股股票发起式C
001039,嘉实先进制造股票
001672,国寿安保智慧生活股票A
003853,金鹰信息产业股票A
023101,国寿安保智慧生活股票C
002861,工银智能制造股票A
005885,金鹰信息产业股票C
013242,华银优势行业股票
005310,广发电子信息传媒股票A
001072,华安智能装备主题股票A
022710,工银智能制造股票C
010236,广发电子信息传媒股票C
013622,华安智能装备主题股票C
014191,广发先进制造股票发起式A
014192,广发先进制造股票发起式C
014185,招商专精特新股票A
014416,泰康研究精选股票发起A
001521,国寿安保成长优选股票A
014417,泰康研究精选股票发起C
014186,招商专精特新股票C
017916,国寿安保成长优选股票C
004640,华夏节能环保股票A
009899,上银内需增长股票A
002980,华夏创新前沿股票A
015060,华夏节能环保股票C
015754,上银内需增长股票C
001188,鹏华改革红利股票
021875,路博迈资源精选股票发起A
021876,路博迈资源精选股票发起C
004450,嘉实前沿科技沪港深股票A
001070,建信信息产业股票A
001678,英大国企改革A
014863,建信信息产业股票C
022868,英大国企改革C
020315,嘉实前沿科技沪港深股票C
001749,招商中国机遇股票A
002229,华夏经济转型股票
022754,易方达科鑫量化选股股票发起式A
022755,易方达科鑫量化选股股票发起式C
024804,华夏量化选股股票A
001410,信澳新能源产业股票A
024805,华夏量化选股股票C
008009,华商高端装备制造股票A
024170,信澳新能源产业股票C
006868,华夏科技成长股票
001313,摩根智慧互联股票A
005495,创金合信科技成长股票A
016050,华商高端装备制造股票C
016919,摩根智慧互联股票C
340006,兴全全球视野股票
009491,宝盈创新驱动股票A
005496,创金合信科技成长股票C
001042,华夏领先股票
009891,融通产业趋势臻选股票A
009492,宝盈创新驱动股票C
005962,宝盈人工智能股票A
013339,创金合信芯片产业股票发起A
000979,景顺长城沪港深精选股票A
018495,融通产业趋势臻选股票C
000586,景顺长城中小创精选股票A
001162,前海开源优势蓝筹股票A
